creneau_id,id_session,dateExam,h_debut,h_fin,type_ex,semestre,enseignant,cod_salle
244,1,16/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,36,A209
245,1,16/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,48,A206
246,1,16/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,48,A207
247,1,16/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,48,B302
248,1,16/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,48,B302
249,1,16/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,48,B303
250,1,16/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,48,B303
251,1,16/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,51,A102
252,1,16/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,58,A131
253,1,16/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,58,A124
254,1,16/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,62,A405
255,1,16/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,62,A406
256,1,16/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,62,A407
