creneau_id,id_session,dateExam,h_debut,h_fin,type_ex,semestre,enseignant,cod_salle
53,1,13/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,219,A407
54,1,13/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,219,A408
55,1,13/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,375,A405
56,1,13/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,375,A406
57,1,13/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,375,A407
58,1,13/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,375,A408
59,1,14/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,8,A206
60,1,14/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,8,A207
61,1,14/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,20,A131
62,1,14/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,20,A124
63,1,14/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,20,B401
64,1,14/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,20,A102
65,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,24,B302
66,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,24,B303
67,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,24,B401
68,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,33,A206
69,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,33,A207
70,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,33,A208
71,1,14/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,37,A208
72,1,14/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,37,A209
73,1,14/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,38,A208
74,1,14/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,38,A209
75,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,40,A102
76,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,40,A124
77,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,40,A131
78,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,40,A209
79,1,14/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,44,A206
80,1,14/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,44,A207
81,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,45,A405
82,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,45,A406
83,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,45,A407
84,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,45,A408
85,1,14/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,52,B302
86,1,14/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,52,B303
87,1,14/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,71,B302
88,1,14/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,71,B303
89,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,74,A206
90,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,74,A207
91,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,74,A208
92,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,86,B203
93,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,86,B203
94,1,14/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,90,A131
95,1,14/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,90,A124
96,1,14/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,90,B401
97,1,14/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,90,A102
98,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,91,A102
99,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,91,A124
100,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,91,A131
101,1,14/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,91,A209
102,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,96,B302
103,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,96,B303
104,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,96,B401
105,1,14/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,96,A405
106,1,14/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,96,A406
107,1,14/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,96,A407
108,1,14/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,96,A408
109,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,98,A405
110,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,98,A406
111,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,98,A407
112,1,14/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,98,A408
113,1,14/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,116,A405
114,1,14/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,116,A406
115,1,14/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,116,A407
116,1,14/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,116,A408
117,1,15/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,0,B302
118,1,15/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,0,B303
119,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,6,A206
120,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,6,A207
121,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,6,A208
122,1,15/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,8,A206
123,1,15/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,8,A207
124,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,9,A102
125,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,9,A124
126,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,9,A131
127,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,9,A209
128,1,15/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,9,A102
129,1,15/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,11,B401
130,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,23,B302
131,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,23,B303
132,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,23,B401
133,1,15/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,35,A208
134,1,15/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,35,A209
135,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,43,B302
136,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,43,B303
137,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,43,B401
138,1,15/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,44,A102
139,1,15/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,58,A206
140,1,15/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,58,A207
141,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,63,B203
142,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,63,B203
143,1,15/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,66,B302
144,1,15/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,66,B303
145,1,15/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,71,B401
146,1,15/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,74,A131
147,1,15/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,74,A124
148,1,15/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,75,A405
149,1,15/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,75,A406
150,1,15/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,75,A407
151,1,15/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,75,A408
152,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,78,A206
153,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,78,A207
154,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,78,A208
155,1,15/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,89,A405
156,1,15/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,89,A406
157,1,15/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,89,A407
158,1,15/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,89,A408
159,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,117,A405
160,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,117,A406
161,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,117,A407
162,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,117,A408
163,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,219,A405
164,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,219,A406
165,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,219,A407
166,1,15/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,219,A408
167,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,223,A102
168,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,223,A124
169,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,223,A131
170,1,15/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,223,A209
171,1,15/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,232,A131
172,1,15/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,232,A124
173,1,15/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,350,A208
174,1,15/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,350,A209
175,1,16/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,1,B203
176,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,12,A206
177,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,12,A207
178,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,12,A208
179,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,13,B302
180,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,13,B303
181,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,13,B401
182,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,17,A405
183,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,17,A406
184,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,17,A407
185,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,17,A408
186,1,16/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,24,B401
187,1,16/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,25,A102
188,1,16/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,25,A124
189,1,16/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,25,A131
190,1,16/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,25,A209
191,1,16/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,25,B401
192,1,16/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,32,A206
193,1,16/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,32,A207
194,1,16/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,32,A208
195,1,16/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,36,A208
196,1,16/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,36,A209
197,1,16/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,48,A206
198,1,16/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,48,A207
199,1,16/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,48,B302
200,1,16/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,48,B302
201,1,16/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,48,B303
202,1,16/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,48,B303
203,1,16/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,51,A102
204,1,16/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,58,A131
205,1,16/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,58,A124
206,1,16/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,62,A405
207,1,16/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,62,A406
208,1,16/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,62,A407
209,1,16/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,62,A408
210,1,16/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,72,A131
211,1,16/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,72,A124
212,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,76,B203
213,1,16/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,84,A405
214,1,16/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,84,A406
215,1,16/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,84,A407
216,1,16/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,84,A408
217,1,16/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,87,B302
218,1,16/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,87,B303
219,1,16/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,87,B401
220,1,16/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,101,A206
221,1,16/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,101,A207
222,1,16/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,188,A405
223,1,16/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,188,A406
224,1,16/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,188,A407
225,1,16/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,188,A408
226,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,216,A102
227,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,216,A124
228,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,216,A131
229,1,16/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,216,A209
230,1,16/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,219,A208
231,1,16/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,219,A209
232,1,16/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,236,A102
233,1,17/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,0,B302
234,1,17/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,0,B303
235,1,19/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,11,B401
236,1,19/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,26,A102
237,1,19/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,26,A124
238,1,19/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,26,A131
239,1,19/05/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,E,SEMESTRE 2,26,A209
240,1,19/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,51,B302
241,1,19/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,51,B303
242,1,19/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,56,B401
243,1,19/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,60,A131
244,1,19/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,60,A124
245,1,19/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,76,A131
246,1,19/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,76,A124
247,1,19/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,76,A102
248,1,19/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,84,A405
249,1,19/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,84,A406
250,1,19/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,84,A407
251,1,19/05/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,E,SEMESTRE 2,84,A408
252,1,19/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,87,B302
253,1,19/05/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,E,SEMESTRE 2,87,B303
254,1,19/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,97,A102
255,1,19/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,97,A124
256,1,19/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,97,A131
257,1,19/05/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,E,SEMESTRE 2,97,A209
